Season,Team,League,Conference,Division,Regular season,,,,Postseason results,Awards,Head coaches
,,,,,Finish,Wins,Losses,Ties,,,
Cleveland Rams,,,,,,,,,,,
1936,1936,AFL,,,2nd,5,2,2,[2][3][4],,Damon Wetzel
1937,1937,NFL,,West,5th,1,10,0,,,Hugo Bezdek
1938,1938,NFL,,West,4th,4,7,0,,,Hugo Bezdek (0–3)
,,,,,,,,,,,Art Lewis (4–4)
1939,1939,NFL,,West,4th,5,5,1,,Parker Hall (MVP),Dutch Clark
1940,1940,NFL,,West,4th,4,6,1,,,
1941,1941,NFL,,West,5th,2,9,0,,,
1942,1942,NFL,,West,3rd,5,6,0,,,
1943,Team suspended operations due to World War II,,,,,,,,,,
1944,1944,NFL,,West,4th,4,6,0,,,Aldo Donelli
1945,1945,NFL,,West,1st,9,1,0,Won NFL Championship (1) (Redskins) 15–14,Adam Walsh (COY),Adam Walsh
,,,,,,,,,,Bob Waterfield (MVP),
Los Angeles Rams[5],,,,,,,,,,,
1946,1946,NFL,,West,2nd,6,4,1,,,Adam Walsh
1947,1947,NFL,,West,4th,6,6,0,,,Bob Snyder
1948,1948,NFL,,West,3rd,6,5,1,,,Clark Shaughnessy
1949,1949,NFL,,West,1st,8,2,2,Lost NFL Championship (Eagles) 14–0,,
1950,1950,NFL,National,,1st,9,3,0,Won National Conference Playoff (Bears) 24–14,,Joe Stydahar
,,,,,,,,,Lost NFL Championship (at Browns) 30–28,,
1951,1951,NFL,National,,1st,8,4,0,Won NFL Championship (2) (Browns) 24–17,,
1952,1952,NFL,National,,2nd,9,3,0,Lost National Conference Playoff (at Lions) 31–21,Hamp Pool (COY),Joe Stydahar (0–1)
,,,,,,,,,,,Hamp Pool (9–2)
1953,1953,NFL,Western,,3rd,8,3,1,,,Hamp Pool
1954,1954,NFL,Western,,4th,6,5,1,,,
1955,1955,NFL,Western,,1st,8,3,1,Lost NFL Championship (Browns) 38–14,,Sid Gillman
1956,1956,NFL,Western,,T-5th,4,8,0,,,
1957,1957,NFL,Western,,4th,6,6,0,,,
1958,1958,NFL,Western,,T-2nd,8,4,0,,,
1959,1959,NFL,Western,,6th,2,10,0,,,
1960,1960,NFL,Western,,6th,4,7,1,,,Bob Waterfield
1961,1961,NFL,Western,,6th,4,10,0,,,
1962,1962,NFL,Western,,7th,1,12,1,,,Bob Waterfield (1–7)
,,,,,,,,,,,Harland Svare (0–5–1)
1963,1963,NFL,Western,,6th,5,9,0,,,Harland Svare
1964,1964,NFL,Western,,5th,5,7,2,,,
1965,1965,NFL,Western,,7th,4,10,0,,,
1966,1966,NFL,Western,,3rd,8,6,0,,,George Allen
1967,1967,NFL,Western,Coastal,1st,11,1,2,Lost Conference Playoff Game (at Packers) 28–7,George Allen (COY),
,,,,,,,,,,Deacon Jones (DPOY),
1968,1968,NFL,Western,Coastal,2nd,10,3,1,,Deacon Jones (DPOY),
1969,1969,NFL,Western,Coastal,1st,11,3,0,Lost Conference Playoff Game (at Vikings) 23–20,Roman Gabriel (MVP)/(Rams MVP),
1970,1970,NFL,NFC,West,2nd,9,4,1,,,
1971,1971,NFL,NFC,West,2nd,8,5,1,,Isiah Robertson (DROY),Tommy Prothro
1972,1972,NFL,NFC,West,3rd,6,7,1,,,
1973,1973,NFL,NFC,West,1st,12,2,0,Lost Divisional playoffs (at Cowboys) 27–16,Chuck Knox (COY),Chuck Knox
1974,1974,NFL,NFC,West,1st,10,4,0,Won Divisional playoffs (Redskins) 19–10,,
,,,,,,,,,Lost NFC Championship (at Vikings) 14–10,,
1975,1975,NFL,NFC,West,1st,12,2,0,Won Divisional playoffs (Cardinals) 35–23,Jack Youngblood (DPOY),
,,,,,,,,,Lost NFC Championship (Cowboys) 37–7,,
1976,1976,NFL,NFC,West,1st,10,3,1,Won Divisional playoffs (at Cowboys) 14–12,,
,,,,,,,,,Lost NFC Championship (at Vikings) 24–13,,
1977,1977,NFL,NFC,West,1st,10,4,0,Lost Divisional playoffs (Vikings) 14–7,,
1978,1978,NFL,NFC,West,1st,12,4,0,Won Divisional playoffs (Vikings) 34–10,,Ray Malavasi
,,,,,,,,,Lost NFC Championship (Cowboys) 28–0,,
1979,1979,NFL,NFC,West,1st,9,7,0,Won Divisional playoffs (at Cowboys) 21–19,,
,,,,,,,,,Won NFC Championship (at Buccaneers) 9–0,,
,,,,,,,,,Lost Super Bowl XIV (vs. Steelers) 31–19,,
1980,1980,NFL,NFC,West,2nd,11,5,0,Lost Wild Card playoffs (at Cowboys) 34–13,,
1981,1981,NFL,NFC,West,3rd,6,10,0,,,
1982[6],1982,NFL,NFC,,14th,2,7,0,,,
1983,1983,NFL,NFC,West,2nd,9,7,0,Won Wild Card playoffs (at Cowboys) 24–17,Eric Dickerson (OROY),John Robinson
,,,,,,,,,Lost Divisional playoffs (at Redskins) 51–7,,
1984,1984,NFL,NFC,West,2nd,10,6,0,Lost Wild Card playoffs (Giants) 16–13,,
1985,1985,NFL,NFC,West,1st,11,5,0,Won Divisional playoffs (Cowboys) 20–0,,
,,,,,,,,,Lost NFC Championship (at Bears) 24–0,,
1986,1986,NFL,NFC,West,2nd,10,6,0,Lost Wild Card playoffs (at Redskins) 19–7,Eric Dickerson (OPOY),
1987[7],1987,NFL,NFC,West,3rd,6,9,0,,,
1988,1988,NFL,NFC,West,2nd,10,6,0,Lost Wild Card playoffs (at Vikings) 28–17,,
1989,1989,NFL,NFC,West,2nd,11,5,0,Won Wild Card playoffs (at Eagles) 21–7,,
,,,,,,,,,Won Divisional playoffs (at Giants) 19–13,,
,,,,,,,,,Lost NFC Championship (at 49ers) 30–3,,
1990,1990,NFL,NFC,West,3rd,5,11,0,,,
1991,1991,NFL,NFC,West,4th,3,13,0,,,
1992,1992,NFL,NFC,West,4th,6,10,0,,,Chuck Knox
1993,1993,NFL,NFC,West,4th,5,11,0,,Jerome Bettis (OROY),
1994,1994,NFL,NFC,West,4th,4,12,0,,,
St. Louis Rams[8],,,,,,,,,,,
1995,1995,NFL,NFC,West,3rd,7,9,0,,,Rich Brooks
1996,1996,NFL,NFC,West,3rd,6,10,0,,,
1997,1997,NFL,NFC,West,5th,5,11,0,,,Dick Vermeil
1998,1998,NFL,NFC,West,5th,4,12,0,,,
1999,1999,NFL,NFC,West,1st,13,3,0,Won Divisional playoffs (Vikings) 49–37,Dick Vermeil (COY),
,,,,,,,,,Won NFC Championship (Buccaneers) 11–6,Kurt Warner (MVP)/(SB MVP),
,,,,,,,,,Won Super Bowl XXXIV[9](3) (vs. Titans) 23–16,Marshall Faulk (OPOY),
2000,2000,NFL,NFC,West,2nd,10,6,0,Lost Wild Card playoffs (at Saints) 31–28,Marshall Faulk (MVP)/(OPOY),Mike Martz
2001,2001,NFL,NFC,West,1st,14,2,0,Won Divisional playoffs (Packers) 45–17,Kurt Warner (MVP),
,,,,,,,,,Won NFC Championship (Eagles) 29–24,Marshall Faulk (OPOY),
,,,,,,,,,Lost Super Bowl XXXVI (vs. Patriots) 20–17,,
2002,2002,NFL,NFC,West,2nd,7,9,0,,,
2003,2003,NFL,NFC,West,1st,12,4,0,Lost Divisional playoffs (Panthers) 29–23 (2OT),,
2004,2004,NFL,NFC,West,2nd,8,8,0,Won Wild Card playoffs (at Seahawks) 27–20,,
,,,,,,,,,Lost Divisional playoffs (at Falcons) 47–17,,
2005,2005,NFL,NFC,West,2nd,6,10,0,,,Mike Martz (2–3)
,,,,,,,,,,,Joe Vitt (4–7)
2006,2006,NFL,NFC,West,2nd,8,8,0,,,Scott Linehan
2007,2007,NFL,NFC,West,4th,3,13,0,,,
2008,2008,NFL,NFC,West,4th,2,14,0,,,Scott Linehan (0–4)
,,,,,,,,,,,Jim Haslett (2–10)
2009,2009,NFL,NFC,West,4th,1,15,0,,,Steve Spagnuolo
2010,2010,NFL,NFC,West,2nd,7,9,0,,Sam Bradford (OROY),
2011,2011,NFL,NFC,West,4th,2,14,0,,,
2012,2012,NFL,NFC,West,3rd,7,8,1,,,Jeff Fisher
2013,2013,NFL,NFC,West,4th,7,9,0,,,
2014,2014,NFL,NFC,West,4th,6,10,0,,Aaron Donald (DROY),
2015,2015,NFL,NFC,West,3rd,7,9,0,,Todd Gurley (OROY),
Los Angeles Rams[10],,,,,,,,,,,
2016,2016,NFL,NFC,West,3rd,4,12,0,,,Jeff Fisher (4–9)
,,,,,,,,,,,John Fassel (0–3)
2017,2017,NFL,NFC,West,1st,11,5,0,Lost Wild Card playoffs (Falcons) 26–13,Sean McVay (COY),Sean McVay
,,,,,,,,,,Aaron Donald (DPOY),
,,,,,,,,,,Todd Gurley (OPOY),
2018,2018,NFL,NFC,West,1st,13,3,0,Won Divisional playoffs (Cowboys) 30–22,Aaron Donald (DPOY),
,,,,,,,,,Won NFC Championship (at Saints) 26–23 (OT),,
,,,,,,,,,Lost Super Bowl LIII (vs. Patriots) 13–3,,
2019,2019,NFL,NFC,West,3rd,9,7,0,,,
Total,,,,,,577,569,21,(regular season)[11],,
17 division titles,,,,,,,,,,,
7 conference titles,,,,,,21,26,0,(playoffs),,
3 NFL titles and Super Bowl XXXIV win,,,,,,598,595,21,(regular season and playoffs)[11],,
